DATE,daily_demand,national_temp_avg,lag_1,lag_7,lag_14,lag_30,roll_mean_7,roll_std_7,diff_1,pct_change_7,HDD,CDD,temp_lag_1,temp_lag_3,day_of_week,month,year,dow_sin,dow_cos,month_sin,month_cos
2016-03-15,1599859,5.20625,1507729.0,1716089.0,1589889.0,1426483.0,1543703.2857142857,128263.17963430737,92130.0,-0.06772958745146673,12.79375,0.0,5.325,6.59375,1,3,2016,0.7818314824680298,0.6234898018587336,1.0,6.123233995736766e-17
2016-03-16,1555723,7.7125,1599859.0,1674710.0,1611267.0,1654227.0,1526705.142857143,115230.07117563073,-44136.0,-0.0710493160009793,10.2875,0.0,5.20625,6.60625,2,3,2016,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17
2016-03-17,1542711,4.49375,1555723.0,1669836.0,1623240.0,1659083.0,1508544.4285714286,97578.07148782979,-13012.0,-0.07613023075319969,13.50625,0.0,7.7125,5.325,3,3,2016,0.43388373911755823,-0.900968867902419,1.0,6.123233995736766e-17
2016-03-18,1617465,4.61875,1542711.0,1597113.0,1601551.0,1704092.0,1511451.857142857,100903.42516555685,74754.0,0.012742993138243897,13.38125,0.0,4.49375,5.20625,4,3,2016,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17
2016-03-19,1447211,7.25625,1617465.0,1421028.0,1463171.0,1652460.0,1515192.2857142857,97417.90167915575,-170254.0,0.018425393447560445,10.74375,0.0,4.61875,7.7125,5,3,2016,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17
2016-03-20,1384046,7.29375,1447211.0,1335648.0,1453255.0,1596118.0,1522106.2857142857,83236.66996123904,-63165.0,0.036235595007067634,10.70625,0.0,7.25625,4.49375,6,3,2016,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17
2016-03-21,1547394,7.643750000000001,1384046.0,1507729.0,1631929.0,1400752.0,1527772.7142857143,83444.65492909752,163348.0,0.026307778121930303,10.35625,0.0,7.29375,4.61875,0,3,2016,0.0,1.0,1.0,6.123233995736766e-17
2016-03-22,1561414,5.80625,1547394.0,1599859.0,1716089.0,1323985.0,1522280.5714285714,79059.2822946839,14020.0,-0.02403024266513487,12.19375,0.0,7.643750000000001,7.25625,1,3,2016,0.7818314824680298,0.6234898018587336,1.0,6.123233995736766e-17
2016-03-23,1583461,8.2125,1561414.0,1555723.0,1674710.0,1567477.0,1526243.142857143,81666.96160509223,22047.0,0.01782965219386745,9.7875,0.0,5.80625,7.29375,2,3,2016,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17
2016-03-24,1530735,9.1375,1583461.0,1542711.0,1669836.0,1610066.0,1524532.2857142857,81389.4474562655,-52726.0,-0.00776295754681211,8.8625,0.0,8.2125,7.643750000000001,3,3,2016,0.43388373911755823,-0.900968867902419,1.0,6.123233995736766e-17
